Link,Bedrooms,Bathrooms,Area,Price,Price_per_meter,Address,City,Location1,Location2,Unit,Type,Rent_sale
https://remax.com.eg/property/apartment-with-garden-for-sale-in-8th-district-4920,1,1,45,"EGP 1,800,000",40000.0,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/for-sale-exclusive-villa-in-the-latest-smart-city-noor-q1-model-group-43-4914,4,3,195,"EGP 15,259,520",78253.95,"Noor City - Cairo , Egypt",Cairo,Noor City,None,Apartment,Residential,Sale
https://remax.com.eg/property/90m-apartment-for-sale-in-al-suyuf-jamila-bouhraid-street-4934,3,1,90,"EGP 1,300,000",14444.44,"Hay Awal El Montazah - Alexandria , Egypt",Alexandria,Hay Awal El Montazah,None,Apartment,Residential,Rent
https://remax.com.eg/property/open-view-standalone-for-sale-in-ivy-by-new-giza-4930,5,5,450,"EGP 22,000,000",48888.89,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Sale
https://remax.com.eg/property/taj-sultan-mmhd-fully-finished-apartment-for-sale-ground-with-garden-4946,2,1,104,"EGP 7,000,000",67307.69,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Rent
https://remax.com.eg/property/fully-finished-shop-for-sale-in-ritzy-mall-4921,0,0,54,"EGP 9,500,000",175925.93,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/great-opportunity-in-a-prime-location-marriott-residence-heliopolis-4938,1,1,63,"EGP 6,990,000",110952.38,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Residential,None
https://remax.com.eg/property/licensed-apartment-110-m-for-sale-in-new-miami-4933,2,1,110,"EGP 1,600,000",14545.45,"Hay Awal El Montazah - Alexandria , Egypt",Alexandria,Hay Awal El Montazah,None,Apartment,Residential,Rent
https://remax.com.eg/property/great-opportunity-in-a-prime-location-marriott-residence-heliopolis-4939,1,1,67,"EGP 4,860,000",72537.31,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Residential,None
https://remax.com.eg/property/ground-duplex-for-rent-16th-district-sheikh-zayed-4931,3,3,230,"EGP 30,000",130.43,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/best-apartment-model-b14-g142-smart-model-with-3-bedrooms-136-m-plus-a-65-m-garden-with-a-completely-open-view-4913,3,2,135,"EGP 11,329,740",83924.0,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/live-or-invest-in-a-unique-townhouse-in-the-latest-compound-smart-city-noor-model-q1-with-a-prime-location-4899,4,3,195,"EGP 16,225,580",83208.1,"Noor City - Cairo , Egypt",Cairo,Noor City,None,Apartment,Residential,None
https://remax.com.eg/property/receive-your-residential-unit-in-madinaty-b14-4906,3,2,115,"EGP 8,898,390",77377.3,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,None
https://remax.com.eg/property/own-a-stunning-apartment-in-madinaty-b8-group-88-77m-4905,2,1,77,"EGP 2,833,180",36794.55,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,None
https://remax.com.eg/property/fully-furnished-hotel-apartment-for-rent-in-madinaty-b12-one-of-the-most-prestigious-groups-124-4902,2,1,84,"EGP 30,000",357.14,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Rent
https://remax.com.eg/property/own-a-luxurious-apartment-now-in-the-latest-phase-of-madinaty-b14-group-142-with-a-spacious-189-sqm-on-the-ground-floor-4904,4,3,189,"EGP 12,863,300",68059.79,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,None
https://remax.com.eg/property/twin-house-for-sale-marina-wadi-directly-to-the-beach-4909,5,4,250,"EGP 16,000,000",64000.0,"Al Ain Al Sokhna - Suez , Egypt",Suez,Al Ain Al Sokhna,None,Apartment,Residential,Sale
https://remax.com.eg/property/now-you-can-invest-in-your-residential-unit-in-madinaty-b14-with-a-payment-plan-of-up-to-10-years-4903,3,2,115,"EGP 9,545,160",83001.39,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,None
https://remax.com.eg/property/clinic-61m-for-rent-in-arkan-medical-4919,2,1,61,"EGP 63,000",1032.79,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/for-sale-a-special-apartment-in-madinaty-b12-group-124-74m-4901,2,1,74,"EGP 1,450,000",19594.59,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/shop-6-m-for-rent-port-said-main-street-camp-caesar-4907,0,0,6,"EGP 1,500,000",250000.0,"Hay Wasat - Alexandria , Egypt",Alexandria,Hay Wasat,None,Apartment,Commercial,Rent
https://remax.com.eg/property/for-sale-a-beautiful-apartment-in-one-of-the-best-phases-of-madinaty-b8-group-86-70m-4900,2,1,70,"EGP 2,900,000",41428.57,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/own-or-invest-in-the-latest-smart-city-compound-noor-early-phases-for-delivery-g14-98m-4915,2,2,98,"EGP 4,777,180",48746.73,"Noor City - Cairo , Egypt",Cairo,Noor City,None,Apartment,Residential,None
https://remax.com.eg/property/a-unique-opportunity-for-living-or-investment-at-the-lowest-cash-price-in-madinaty-b11-4886,2,1,71,"EGP 3,850,000",54225.35,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,None
https://remax.com.eg/property/resale-ground-apartment-in-badya-palm-hills-4892,2,3,147,"EGP 6,913,500",47030.61,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/exclusive-investment-opportunity-in-the-heart-of-madinaty-apartment-for-sale-in-b15-cluster-150-100m-4888,2,1,100,"EGP 4,324,280",43242.8,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/chalet-ground-floor-stella-sokhna-ground-floor-4879,2,2,80,"EGP 4,500,000",56250.0,"Al Ain Al Sokhna - Suez , Egypt",Suez,Al Ain Al Sokhna,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-in-madinaty-107-m-in-the-best-phase-of-madinaty-b8-group-86-4883,2,2,107,"EGP 3,290,000",30747.66,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-in-heliopolis-marghany-street-4881,3,3,210,"EGP 6,000,000",28571.43,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Residential,Sale
https://remax.com.eg/property/shop-for-rent-or-sale-in-nasr-city-4895,0,1,230,"EGP 13,000,000",56521.74,"Nasr City - Cairo , Egypt",Cairo,Nasr City,None,Apartment,Residential,Rent
https://remax.com.eg/property/an-unmissable-opportunity-in-the-heart-of-madinaty-stunning-apartment-for-sale-cash-b3-g31-265m-4887,4,4,265,"EGP 17,000,000",64150.94,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/resale-furnished-apartment-in-al-mostathmir-saghir-4893,4,3,286,"EGP 9,500,000",33216.78,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/in-one-of-the-most-prestigious-locations-in-my-city-b11-a-110-sqm-apartment-4885,3,2,110,"EGP 6,000,000",54545.45,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/a-unique-apartment-for-sale-in-madinaty-b14-with-the-lowest-down-payment-and-the-longest-repayment-period-4884,3,2,116,"EGP 9,929,168",85596.28,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/ard-el-golf-shop-for-sale-4896,0,1,70,"EGP 3,250,000",46428.57,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Residential,Sale
https://remax.com.eg/property/villa-for-rent-625sqm-in-banafseg-10-1st-settlement-4865,5,5,625,"EGP 150,000",240.0,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Rent
https://remax.com.eg/property/middle-townhouse-for-sale-in-hyde-park-4854,3,3,190,"EGP 18,000,000",94736.84,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-rent-in-sherouk-city-4882,4,3,400,"EGP 300,000",750.0,"Shorouk City - Cairo , Egypt",Cairo,Shorouk City,None,Apartment,Residential,Rent
https://remax.com.eg/property/166-sqm-apartment-for-sale-in-taj-city-4862,3,3,166,"EGP 9,300,000",56024.1,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Rent
